$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink,#ImageLink2,#ImageLink3,#ImageLink4
AE1C1B,06-08027,United States Army,Boeing-Vertol CH-47F Chinook,H47,Mil,Choppa,Wocka Wocka,Twin Rotor,Toy Soldiers,https://en.wikipedia.org/wiki/Boeing_CH-47_Chinook,https://cdn.jetphotos.com/full/3/51402_1378407793.jpg,,,
AE5238,07-08034,United States Army,Boeing-Vertol CH-47F Chinook,H47,Mil,Choppa,Wocka Wocka,Twin Rotor,Toy Soldiers,https://en.wikipedia.org/wiki/Boeing_CH-47_Chinook,,,,
AE5251,07-08738,United States Army,Boeing-Vertol CH-47F Chinook,H47,Mil,Choppa,Wocka Wocka,Twin Rotor,Toy Soldiers,https://en.wikipedia.org/wiki/Boeing_CH-47_Chinook,https://cdn.jetphotos.com/full/5/87078_1599317903.jpg,,,
AE526A,08-08754,United States Army,Boeing-Vertol CH-47F Chinook,H47,Mil,Choppa,Wocka Wocka,Twin Rotor,Toy Soldiers,https://en.wikipedia.org/wiki/Boeing_CH-47_Chinook,https://cdn.jetphotos.com/full/6/87415_1617641546.jpg,,,
AE5276,08-08766,United States Army,Boeing-Vertol CH-47F Chinook,H47,Mil,Choppa,Wocka Wocka,Twin Rotor,Toy Soldiers,https://en.wikipedia.org/wiki/Boeing_CH-47_Chinook,,,,
AE529D,09-08794,United States Army,Boeing-Vertol CH-47F Chinook,H47,Mil,Choppa,Wocka Wocka,Twin Rotor,Toy Soldiers,https://en.wikipedia.org/wiki/Boeing_CH-47_Chinook,https://cdn.jetphotos.com/full/5/17105_1615644121.jpg,,,
AE09B5,89-26130,United States Army,UH-60A Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,https://cdn.jetphotos.com/full/2/47753_1208046013.jpg,,,
AE0AFE,89-26152,United States Army,UH-60A Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,https://cdn.jetphotos.com/full/6/77427_1637359281.jpg,,,
AE0B76,85-24400,United States Army,UH-60 Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,,,,
AE0C73,94-26533,United States Army,UH-60L Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,https://cdn.jetphotos.com/full/5/99955_1618782824.jpg,,,
AE0CCA,91-26347,United States Army,UH-60 Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,,,,
AE0CCC,91-26349,United States Army,UH-60 Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,,,,
AE1827,00-26868,United States Army,UH-60 Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,,,,
AE5D93,16-20905,United States Army,UH-60M Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,https://cdn.jetphotos.com/full/6/19515_1624916075.jpg,,,
AE5D95,16-20907,United States Army,UH-60 Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,,,,
AE5D96,16-20908,United States Army,UH-60M Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,https://cdn.jetphotos.com/full/6/70680_1617145008.jpg,,,
AE5D97,16-20909,United States Army,UH-60 Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,,,,
AE5D99,16-20911,United States Army,UH-60M Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,https://cdn.jetphotos.com/full/5/43988_1617143307.jpg,,,
AE5D9A,16-20912,United States Army,UH-60M Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,https://cdn.jetphotos.com/full/6/67572_1617144224.jpg,,,
AE5D9B,16-20913,United States Army,UH-60M Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,https://cdn.jetphotos.com/full/6/59615_1618971139.jpg,,,
AE6C7B,21-21196,United States Army,HH-60M Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,https://cdn.jetphotos.com/full/5/34096_1663461379.jpg,,,
AE6C82,21-21203,United States Army,UH-60 Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,,,,
AFF009,18-20994,United States Army,UH-60 Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,,,,
AE6C84,21-21205,United States Army,UH-60 Blackhawk,H60,Mil,Get To The Choppa,Military Transport,Blackhawk,Toy Soldiers,https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,,,,
